is_client_new;is_clientfinalta_active;y;type;region;source;was_closed_at_contact;tenure_days;day;month;campaign;age;credit_amount;credite_active;deposit_active;deposit_amount
0;1;0;ММБ; Новосибирск;unknown;0;615.0;3;3;4;47;0;N;Y;0
0;1;0;ММБ; Екатеринбург;unknown;0;615.0;3;3;5;30;0;N;Y;0
1;1;1;ММБ; Мурманск;Партнер;0;812.0;15;11;624;40;0;N;Y;0
0;1;0;ММБ; Калуга;Онлайн;0;718.0;14;8;4;51;0;N;Y;0
0;1;0;ММБ; Санкт-Петербург;Онлайн;0;717.0;14;8;5;26;0;N;Y;0
0;0;0;ММБ; Санкт-Петербург;unknown;0;565.0;15;3;11;38;0;N;Y;0
0;1;0;ММБ; Самара;Онлайн;0;578.0;25;4;8;29;0;N;Y;0
0;1;0;ММБ; Ставрополь;unknown;0;597.0;18;4;3;42;0;N;Y;0
0;1;0;ММБ; Тольятти;unknown;0;511.0;15;3;27;39;972222.22;Y;Y;0
0;0;0;ММБ; Оренбург;Онлайн;0;540.0;21;2;5;35;0;N;Y;0
0;1;0;ММБ; Красноярск;Онлайн;0;722.0;23;8;6;42;0;N;Y;0
0;1;0;ММБ; Ижевск;Онлайн;0;663.0;26;6;10;49;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";Партнер;0;493.0;16;1;1;45;0;N;Y;0
0;1;1;ММБ; Омск;unknown;0;533.0;13;2;70;40;276675.27;Y;Y;0
0;1;1;ММБ; Нижний Новгород;unknown;0;715.0;14;8;117;61;0;N;Y;0
0;1;0;ММБ; Нижний Тагил;unknown;0;588.0;11;4;9;29;0;N;Y;0
0;1;0;ММБ; Санкт-Петербург;Онлайн;0;585.0;11;4;8;24;0;N;Y;0
0;1;0;ММБ; Нижний Новгород;Онлайн;0;595.0;18;4;3;52;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Запад""";Онлайн;0;566.0;11;4;9;26;0;N;Y;0
0;1;0;ММБ; Челябинск;Онлайн;0;746.0;20;9;5;34;0;N;Y;0
0;1;0;ММБ; Краснодар;Онлайн;0;595.0;18;4;5;56;0;N;Y;0
0;1;0;ММБ; Ярославль;unknown;0;736.0;11;9;8;50;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Юг""";unknown;0;760.0;14;8;9;40;0;N;Y;0
0;1;0;ММБ; Омск;unknown;0;712.0;26;6;7;37;0;N;Y;0
0;0;0;ММБ; Красноярск;unknown;0;754.0;24;7;115;43;0;N;Y;0
0;1;0;ММБ; Пенза;unknown;0;607.0;15;3;21;31;0;N;Y;0
0;1;0;ММБ; Санкт-Петербург;Онлайн;0;896.0;13;12;8;36;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";unknown;0;623.0;15;3;14;34;0;N;Y;0
0;1;0;ММБ; Белгород;unknown;0;684.0;15;5;14;59;0;N;Y;0
0;1;0;ММБ; Калуга;Выездной канал;0;628.0;11;4;1;38;0;N;Y;0
0;1;0;ММБ; Пенза;Онлайн;0;859.0;29;11;21;38;0;N;Y;0
0;0;0;ММБ; Набережные Челны;Онлайн;0;821.0;23;10;15;63;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Запад""";Онлайн;0;551.0;1;2;11;54;0;N;Y;0
0;1;1;ММБ; Красноярск;Партнер;0;621.0;11;4;198;31;0;N;Y;0
0;1;0;ММБ; Кемерово;unknown;0;838.0;15;11;4;56;0;N;Y;0
0;0;0;ММБ; Ростов-на-Дону;unknown;0;594.0;15;3;6;55;0;N;Y;0
0;1;0;ММБ; Барнаул;Партнер;0;621.0;11;4;8;40;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";Онлайн;0;594.0;15;3;8;40;0;N;Y;0
0;1;0;ММБ; Санкт-Петербург;unknown;0;652.0;15;5;6;36;199942.64;Y;N;0
0;1;0;ММБ; Чебоксары;Онлайн;0;626.0;18;4;17;31;0;N;Y;0
0;1;0;ММБ; Балашиха;Онлайн;0;618.0;11;4;5;41;0;N;Y;587000
0;1;1;ММБ;" Москва Тер-рия ""Запад""";Партнер;0;606.0;4;4;165;52;0;N;N;0
0;0;1;ММБ; Туапсе;unknown;0;675.0;12;6;324;31;0;N;Y;0
1;0;0;ММБ; Ставрополь;Партнер;0;707.0;13;7;12;35;0;N;Y;0
0;1;0;ММБ; Пенза;unknown;0;612.0;11;4;4;46;0;N;Y;0
0;1;0;ММБ;Другое;unknown;0;660.0;22;5;2;27;0;N;Y;0
1;0;0;ММБ; Рязань;unknown;0;612.0;11;4;2;53;0;N;Y;0
0;1;0;ММБ; Санкт-Петербург;unknown;0;619.0;11;4;13;37;0;N;Y;0
0;1;0;ММБ; Пермь;unknown;0;718.0;19;7;12;36;0;N;Y;0
0;1;0;ММБ; Оренбург;unknown;0;611.0;18;4;7;32;0;N;Y;0
0;1;0;ММБ;Другое;unknown;0;619.0;11;4;10;35;0;N;Y;0
0;1;0;ММБ; Санкт-Петербург;unknown;0;757.0;11;9;14;56;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Восток""";Партнер;0;729.0;14;8;7;44;0;N;Y;0
0;1;0;ММБ; Ростов-на-Дону;unknown;0;546.0;13;2;20;37;0;N;Y;0
0;1;0;ММБ; Кемерово;Онлайн;0;648.0;29;5;14;39;0;N;Y;0
